Identificador,Tipo de activo,Servicio,Uso criptográfico,Algoritmo,Tamaño de clave,Exposición,Criticidad,Sensibilidad,Retención (años),Dependencia de proveedor,Migración,Vigencia,Score Total
Activo_49,Clave de firma,API interna,Cifrado en tránsito,PQC,Variable (NIST PQC),Media,Alta,Público,<5,Alta,Alta,Próximo a expirar,27
Activo_50,Certificado digital,Identidad,Cifrado en reposo,ECC-P256,256 bits,Baja,Alta,Público,>20,Media,Alta,Expirado,41
Activo_51,Token de autenticación,Identidad,Autenticación,PQC,Variable (NIST PQC),Baja,Baja,Interno,<5,Alta,Baja,Expirado,11
Activo_52,Token de autenticación,Identidad,Cifrado en reposo,SHA-256,256 bits,Baja,Media,Interno,10-20,Media,Media,Próximo a expirar,28
Activo_53,Clave de cifrado,Correo,Cifrado en tránsito,RSA-2048,2048 bits,Media,Baja,Interno,10-20,Alta,Media,Vigente,33
Activo_54,Credencial de VPN,Firma digital,Autenticación,ECC-P256,256 bits,Alta,Media,Confidencial,10-20,Media,Media,Vigente,42
Activo_55,Credencial de VPN,TLS,Firma digital,ECC-P256,256 bits,Baja,Media,Público,>20,Media,Media,Próximo a expirar,31
Activo_56,Credencial de VPN,Identidad,Cifrado en tránsito,SHA-256,256 bits,Alta,Baja,Confidencial,<5,Media,Media,Próximo a expirar,30
Activo_57,Token de autenticación,TLS,Autenticación,SHA-256,256 bits,Alta,Baja,Confidencial,<5,Baja,Baja,Expirado,27
Activo_58,Certificado digital,Firma digital,Autenticación,RSA-2048,2048 bits,Media,Alta,Público,10-20,Media,Alta,Vigente,43
Activo_59,Clave de cifrado,TLS,Autenticación,SHA-256,256 bits,Media,Media,Interno,<5,Alta,Media,Expirado,25
Activo_60,Certificado digital,TLS,Cifrado en reposo,PQC,Variable (NIST PQC),Baja,Alta,Interno,10-20,Alta,Alta,Vigente,33
